Date : 2021-01-24 19:28:49
Directory : c:\Users\sad sad\Desktop\React\app\src
Total : 93 files,  4915 codes, 208 comments, 525 blanks, all 5648 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |         56 |      3,400 |        178 |        397 |      3,975 |
| XML              |         21 |        554 |         10 |         10 |        574 |
| Markdown         |          8 |        538 |          0 |         52 |        590 |
| JavaScript React |          8 |        423 |         20 |         66 |        509 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         93 |      4,915 |        208 |        525 |      5,648 |
| .VSCodeCounter                                                                       |          8 |        538 |          0 |         52 |        590 |
| .VSCodeCounter\2021-01-18_15-53-17                                                   |          2 |        127 |          0 |         13 |        140 |
| .VSCodeCounter\2021-01-19_21-10-30                                                   |          2 |        135 |          0 |         13 |        148 |
| .VSCodeCounter\2021-01-19_22-18-08                                                   |          2 |        137 |          0 |         13 |        150 |
| .VSCodeCounter\2021-01-24_14-45-11                                                   |          2 |        139 |          0 |         13 |        152 |
| Firebase                                                                             |          1 |         14 |          0 |          3 |         17 |
| assets                                                                               |         22 |        582 |         10 |         19 |        611 |
| assets\style                                                                         |          1 |         28 |          0 |          9 |         37 |
| assets\svg                                                                           |         21 |        554 |         10 |         10 |        574 |
| components                                                                           |         36 |      1,877 |          1 |        218 |      2,096 |
| components\Footer                                                                    |          1 |         12 |          0 |          4 |         16 |
| components\Form                                                                      |          9 |        311 |          0 |         43 |        354 |
| components\JobDetails                                                                |          8 |        461 |          0 |         52 |        513 |
| components\Jobs                                                                      |          3 |        213 |          0 |         23 |        236 |
| components\Loader                                                                    |          1 |         49 |          0 |          3 |         52 |
| components\Modal                                                                     |          2 |         65 |          0 |          8 |         73 |
| components\Navbar                                                                    |          8 |        434 |          1 |         51 |        486 |
| components\UserJob                                                                   |          1 |        179 |          0 |         16 |        195 |
| components\UserList                                                                  |          1 |         44 |          0 |          4 |         48 |
| components\UserSettings                                                              |          2 |        109 |          0 |         14 |        123 |
| i18n                                                                                 |          2 |         34 |          0 |         11 |         45 |
| layout                                                                               |          1 |         18 |          1 |          9 |         28 |
| pages                                                                                |         13 |      1,297 |        176 |        136 |      1,609 |
| pages\JobActions                                                                     |          2 |        419 |         58 |         31 |        508 |
| pages\User                                                                           |          7 |        596 |        118 |         75 |        789 |
| store                                                                                |          8 |        423 |         20 |         66 |        509 |
| store\actions                                                                        |          4 |        246 |         12 |         28 |        286 |
| store\reducers                                                                       |          3 |        150 |          7 |         32 |        189 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                             | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-18_15-53-17\details.md | Markdown         |         89 |          0 |          6 |         95 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-18_15-53-17\results.md | Markdown         |         38 |          0 |          7 |         45 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_21-10-30\details.md | Markdown         |         94 |          0 |          6 |        100 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_21-10-30\results.md | Markdown         |         41 |          0 |          7 |         48 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_22-18-08\details.md | Markdown         |         95 |          0 |          6 |        101 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_22-18-08\results.md | Markdown         |         42 |          0 |          7 |         49 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-24_14-45-11\details.md | Markdown         |         96 |          0 |          6 |        102 |
| c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-24_14-45-11\results.md | Markdown         |         43 |          0 |          7 |         50 |
| c:\Users\sad sad\Desktop\React\app\src\App.js                                        | JavaScript       |         86 |          0 |          6 |         92 |
| c:\Users\sad sad\Desktop\React\app\src\Firebase\Firebase.js                          | JavaScript       |         14 |          0 |          3 |         17 |
| c:\Users\sad sad\Desktop\React\app\src\assets\style\GlobalStyle.js                   | JavaScript       |         28 |          0 |          9 |         37 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\accept.svg                         | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\account.svg                        | XML              |         42 |          1 |          1 |         44 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\document.svg                       | XML              |        100 |          1 |          1 |        102 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\documents.svg                      | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\home.svg                           | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\it.svg                             | XML              |         76 |          1 |          1 |         78 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\joblvl.svg                         | XML              |         50 |          1 |          1 |         52 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtime.svg                        | XML              |         51 |          1 |          1 |         53 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtype.svg                        | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\logout.svg                         | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\loupe.svg                          | XML              |         42 |          1 |          1 |         44 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\mail.svg                           | XML              |         43 |          1 |          1 |         45 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\marker.svg                         | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\money.svg                          | XML              |         51 |          1 |          1 |         53 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\newuser.svg                        | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\next.svg                           | XML              |         41 |          1 |          1 |         43 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\office.svg                         | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\settings.svg                       | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\suitcase.svg                       | XML              |         47 |          1 |          1 |         49 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\talk.svg                           | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\assets\svg\user.svg                           | XML              |          1 |          0 |          0 |          1 |
| c:\Users\sad sad\Desktop\React\app\src\components\Footer\Footer.js                   | JavaScript       |         12 |          0 |          4 |         16 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\BackgroundImage.js            | JavaScript       |         70 |          0 |          5 |         75 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\Button.js                     | JavaScript       |         22 |          0 |          5 |         27 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\FormStyles.js                 | JavaScript       |         79 |          0 |          8 |         87 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\InputUser.js                  | JavaScript       |         24 |          0 |          4 |         28 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\Message.js                    | JavaScript       |         28 |          0 |          4 |         32 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\Reference.js                  | JavaScript       |         23 |          0 |          5 |         28 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\Select.js                     | JavaScript       |         28 |          0 |          4 |         32 |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\TextArea.js                   | JavaScript       |         30 |          0 |          5 |         35 |
